"","Account_status","Duration","Credit_history","Purpose","Amount","Savings","Employment","Installment_rate","Guarantors","Resident_since","Property","Age","Other_plans","Housing","Num_credits","Job","People_maintenance","Phone","Foreign","BAD","Female"
"520","no checking account",6,"critical account / other credits existing (not at this bank)","radio / television",700,"unknown / no savings account",">= 7 years",4,"none",4,"unknown / no property",36,"none","A153",2,"skilled employee / official",1,"none","yes","GOOD","Female"
"521","no checking account",24,"critical account / other credits existing (not at this bank)","repairs",5507,"< 100 DM",">= 7 years",3,"none",4,"unknown / no property",44,"none","A153",2,"skilled employee / official",1,"none","yes","GOOD","Female"
"522","< 0 DM",18,"existing credits paid back duly till now","radio / television",3190,"< 100 DM","1  <= ... < 4 years",2,"none",2,"real estate",24,"none","A152",1,"skilled employee / official",1,"none","yes","BAD","Male"
"523","< 0 DM",48,"no credits taken / all credits paid back duly","furniture / equipment",7119,"< 100 DM","1  <= ... < 4 years",3,"none",4,"unknown / no property",53,"none","A153",2,"skilled employee / official",2,"none","yes","BAD","Female"
"524","no checking account",24,"existing credits paid back duly till now","car (used)",3488,"100 <= ... <  500 DM","4  <= ... < 7 years",3,"none",4,"car or other",23,"none","A152",1,"skilled employee / official",1,"none","yes","GOOD","Male"
"525","0 < ... <  200 DM",18,"existing credits paid back duly till now","radio / television",1113,"< 100 DM","1  <= ... < 4 years",4,"guarantor",4,"real estate",26,"none","A152",1,"unskilled - resident",2,"none","yes","GOOD","Male"
"526","0 < ... <  200 DM",26,"existing credits paid back duly till now","car (used)",7966,"< 100 DM","< 1 year",2,"none",3,"car or other",30,"none","A152",2,"skilled employee / official",1,"none","yes","GOOD","Female"
"527","no checking account",15,"critical account / other credits existing (not at this bank)","education",1532,"100 <= ... <  500 DM","1  <= ... < 4 years",4,"none",3,"car or other",31,"none","A152",1,"skilled employee / official",1,"none","yes","GOOD","Male"
"528","no checking account",4,"critical account / other credits existing (not at this bank)","radio / television",1503,"< 100 DM","4  <= ... < 7 years",2,"none",1,"real estate",42,"none","A152",2,"unskilled - resident",2,"none","yes","GOOD","Female"
"529","< 0 DM",36,"existing credits paid back duly till now","radio / television",2302,"< 100 DM","1  <= ... < 4 years",4,"none",4,"car or other",31,"none","A151",1,"skilled employee / official",1,"none","yes","BAD","Female"
"530","< 0 DM",6,"existing credits paid back duly till now","car (new)",662,"< 100 DM","< 1 year",3,"none",4,"real estate",41,"none","A152",1,"unskilled - resident",2,"yes, registered under the customers name","yes","GOOD","Female"
"531","0 < ... <  200 DM",36,"existing credits paid back duly till now","education",2273,"< 100 DM","4  <= ... < 7 years",3,"none",1,"car or other",32,"none","A152",2,"skilled employee / official",2,"none","yes","GOOD","Female"
"532","0 < ... <  200 DM",15,"existing credits paid back duly till now","car (new)",2631,"100 <= ... <  500 DM","1  <= ... < 4 years",2,"none",4,"car or other",28,"none","A151",2,"skilled employee / official",1,"yes, registered under the customers name","yes","BAD","Male"
"533","no checking account",12,"delay in paying off in the past","car (used)",1503,"< 100 DM","1  <= ... < 4 years",4,"none",4,"real estate",41,"none","A151",1,"skilled employee / official",1,"none","yes","GOOD","Female"
"534","no checking account",24,"existing credits paid back duly till now","radio / television",1311,"100 <= ... <  500 DM","4  <= ... < 7 years",4,"none",3,"building society savings agreement / life insurance",26,"none","A152",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Female"
"535","no checking account",24,"existing credits paid back duly till now","radio / television",3105,"unknown / no savings account","< 1 year",4,"none",2,"car or other",25,"none","A152",2,"skilled employee / official",1,"none","yes","GOOD","Female"
"536",">= 200 DM",21,"critical account / other credits existing (not at this bank)","education",2319,"< 100 DM","< 1 year",2,"none",1,"car or other",33,"none","A151",1,"skilled employee / official",1,"none","yes","BAD","Female"
"537","< 0 DM",6,"existing credits paid back duly till now","car (new)",1374,"unknown / no savings account","unemployed",4,"none",3,"building society savings agreement / life insurance",75,"none","A152",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","yes","GOOD","Male"
"538","0 < ... <  200 DM",18,"critical account / other credits existing (not at this bank)","furniture / equipment",3612,"< 100 DM",">= 7 years",3,"none",4,"building society savings agreement / life insurance",37,"none","A152",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Male"
"539","< 0 DM",48,"existing credits paid back duly till now","car (new)",7763,"< 100 DM",">= 7 years",4,"none",4,"unknown / no property",42,"bank","A153",1,"management / self-employed / highly qualified employee / officer",1,"none","yes","BAD","Female"
"540",">= 200 DM",18,"existing credits paid back duly till now","furniture / equipment",3049,"< 100 DM","< 1 year",1,"none",1,"building society savings agreement / life insurance",45,"stores","A152",1,"unskilled - resident",1,"none","yes","GOOD","Male"
"541","0 < ... <  200 DM",12,"existing credits paid back duly till now","radio / television",1534,"< 100 DM","< 1 year",1,"none",1,"real estate",23,"none","A151",1,"skilled employee / official",1,"none","yes","BAD","Female"
"542","no checking account",24,"delay in paying off in the past","car (new)",2032,"< 100 DM",">= 7 years",4,"none",4,"unknown / no property",60,"none","A153",2,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Female"
"543","< 0 DM",30,"existing credits paid back duly till now","furniture / equipment",6350,"unknown / no savings account",">= 7 years",4,"none",4,"building society savings agreement / life insurance",31,"none","A152",1,"skilled employee / official",1,"none","yes","BAD","Female"
"544",">= 200 DM",18,"existing credits paid back duly till now","furniture / equipment",2864,"< 100 DM","1  <= ... < 4 years",2,"none",1,"real estate",34,"none","A152",1,"unskilled - resident",2,"none","yes","BAD","Female"
"545","no checking account",12,"critical account / other credits existing (not at this bank)","car (new)",1255,"< 100 DM",">= 7 years",4,"none",4,"real estate",61,"none","A152",2,"unskilled - resident",1,"none","yes","GOOD","Female"
"546","< 0 DM",24,"delay in paying off in the past","car (new)",1333,"< 100 DM","unemployed",4,"none",2,"real estate",43,"none","A153",2,"skilled employee / official",2,"none","yes","BAD","Female"
"547","no checking account",24,"critical account / other credits existing (not at this bank)","car (new)",2022,"< 100 DM","1  <= ... < 4 years",4,"none",4,"car or other",37,"none","A152",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Male"
"548","no checking account",24,"existing credits paid back duly till now","radio / television",1552,"< 100 DM","4  <= ... < 7 years",3,"none",1,"car or other",32,"bank","A152",1,"skilled employee / official",2,"none","yes","GOOD","Female"
"549","< 0 DM",12,"all credits at this bank paid back duly","radio / television",626,"< 100 DM","1  <= ... < 4 years",4,"none",4,"real estate",24,"bank","A152",1,"unskilled - resident",1,"none","yes","BAD","Male"
"550","no checking account",48,"critical account / other credits existing (not at this bank)","car (used)",8858,"unknown / no savings account","4  <= ... < 7 years",2,"none",1,"unknown / no property",35,"none","A153",2,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Female"
"551","no checking account",12,"critical account / other credits existing (not at this bank)","repairs",996,"unknown / no savings account","4  <= ... < 7 years",4,"none",4,"real estate",23,"none","A152",2,"skilled employee / official",1,"none","yes","GOOD","Male"
"552","no checking account",6,"all credits at this bank paid back duly","radio / television",1750,"500 <= ... < 1000 DM",">= 7 years",2,"none",4,"building society savings agreement / life insurance",45,"bank","A152",1,"unskilled - resident",2,"none","yes","GOOD","Female"
"553","< 0 DM",48,"existing credits paid back duly till now","radio / television",6999,"< 100 DM","4  <= ... < 7 years",1,"guarantor",1,"real estate",34,"none","A152",2,"skilled employee / official",1,"yes, registered under the customers name","yes","BAD","Female"
"554","0 < ... <  200 DM",12,"critical account / other credits existing (not at this bank)","car (new)",1995,"100 <= ... <  500 DM","< 1 year",4,"none",1,"car or other",27,"none","A152",1,"skilled employee / official",1,"none","yes","GOOD","Female"
"555","0 < ... <  200 DM",9,"existing credits paid back duly till now","education",1199,"< 100 DM","4  <= ... < 7 years",4,"none",4,"building society savings agreement / life insurance",67,"none","A152",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","yes","GOOD","Male"
"556","0 < ... <  200 DM",12,"existing credits paid back duly till now","radio / television",1331,"< 100 DM","< 1 year",2,"none",1,"car or other",22,"stores","A152",1,"skilled employee / official",1,"none","yes","BAD","Female"
"557","0 < ... <  200 DM",18,"no credits taken / all credits paid back duly","car (new)",2278,"100 <= ... <  500 DM","< 1 year",3,"none",3,"car or other",28,"none","A152",2,"skilled employee / official",1,"none","yes","BAD","Male"
"558","no checking account",21,"no credits taken / all credits paid back duly","car (new)",5003,"unknown / no savings account","1  <= ... < 4 years",1,"none",4,"building society savings agreement / life insurance",29,"bank","A152",2,"skilled employee / official",1,"yes, registered under the customers name","yes","BAD","Male"
"559","< 0 DM",24,"all credits at this bank paid back duly","furniture / equipment",3552,"< 100 DM","4  <= ... < 7 years",3,"none",4,"car or other",27,"bank","A152",1,"skilled employee / official",1,"none","yes","BAD","Female"
"560","0 < ... <  200 DM",18,"critical account / other credits existing (not at this bank)","furniture / equipment",1928,"< 100 DM","< 1 year",2,"none",2,"real estate",31,"none","A152",2,"unskilled - resident",1,"none","yes","BAD","Female"
"561","< 0 DM",24,"existing credits paid back duly till now","car (used)",2964,"unknown / no savings account",">= 7 years",4,"none",4,"unknown / no property",49,"bank","A153",1,"skilled employee / official",2,"yes, registered under the customers name","yes","GOOD","Female"
"562","< 0 DM",24,"all credits at this bank paid back duly","radio / television",1546,"< 100 DM","4  <= ... < 7 years",4,"guarantor",4,"car or other",24,"bank","A151",1,"unskilled - resident",1,"none","yes","BAD","Female"
"563",">= 200 DM",6,"delay in paying off in the past","radio / television",683,"< 100 DM","< 1 year",2,"none",1,"building society savings agreement / life insurance",29,"bank","A152",1,"skilled employee / official",1,"none","yes","GOOD","Male"
"564","0 < ... <  200 DM",36,"existing credits paid back duly till now","car (new)",12389,"unknown / no savings account","1  <= ... < 4 years",1,"none",4,"unknown / no property",37,"none","A153",1,"skilled employee / official",1,"yes, registered under the customers name","yes","BAD","Female"
"565","0 < ... <  200 DM",24,"delay in paying off in the past","business",4712,"unknown / no savings account","1  <= ... < 4 years",4,"none",2,"building society savings agreement / life insurance",37,"bank","A152",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","yes","GOOD","Female"
"566","0 < ... <  200 DM",24,"delay in paying off in the past","radio / television",1553,"100 <= ... <  500 DM","4  <= ... < 7 years",3,"none",2,"building society savings agreement / life insurance",23,"none","A151",2,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Male"
"567","< 0 DM",12,"existing credits paid back duly till now","car (new)",1372,"< 100 DM","4  <= ... < 7 years",2,"none",3,"car or other",36,"none","A152",1,"skilled employee / official",1,"none","yes","BAD","Female"
"568","no checking account",24,"critical account / other credits existing (not at this bank)","radio / television",2578,">= 1000 DM",">= 7 years",2,"none",2,"car or other",34,"none","A152",1,"skilled employee / official",1,"none","yes","GOOD","Female"
"569","0 < ... <  200 DM",48,"existing credits paid back duly till now","radio / television",3979,"unknown / no savings account","4  <= ... < 7 years",4,"none",1,"car or other",41,"none","A152",2,"skilled employee / official",2,"yes, registered under the customers name","yes","GOOD","Female"
"570","< 0 DM",48,"existing credits paid back duly till now","radio / television",6758,"< 100 DM","1  <= ... < 4 years",3,"none",2,"car or other",31,"none","A152",1,"skilled employee / official",1,"yes, registered under the customers name","yes","BAD","Male"
"571","< 0 DM",24,"existing credits paid back duly till now","furniture / equipment",3234,"< 100 DM","< 1 year",4,"none",4,"real estate",23,"none","A151",1,"unskilled - resident",1,"yes, registered under the customers name","yes","BAD","Male"
"572","no checking account",30,"critical account / other credits existing (not at this bank)","radio / television",5954,"< 100 DM","4  <= ... < 7 years",3,"co-applicant",2,"car or other",38,"none","A152",1,"skilled employee / official",1,"none","yes","GOOD","Female"
"573","no checking account",24,"existing credits paid back duly till now","car (used)",5433,"unknown / no savings account","unemployed",2,"none",4,"building society savings agreement / life insurance",26,"none","A151",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","yes","GOOD","Male"
"574","< 0 DM",15,"existing credits paid back duly till now","business",806,"< 100 DM","1  <= ... < 4 years",4,"none",4,"building society savings agreement / life insurance",22,"none","A152",1,"unskilled - resident",1,"none","yes","GOOD","Male"
"575","0 < ... <  200 DM",9,"existing credits paid back duly till now","radio / television",1082,"< 100 DM",">= 7 years",4,"none",4,"car or other",27,"none","A152",2,"unskilled - resident",1,"none","yes","GOOD","Female"
"576","no checking account",15,"critical account / other credits existing (not at this bank)","furniture / equipment",2788,"< 100 DM","4  <= ... < 7 years",2,"co-applicant",3,"car or other",24,"bank","A152",2,"skilled employee / official",1,"none","yes","GOOD","Male"
"577","0 < ... <  200 DM",12,"existing credits paid back duly till now","radio / television",2930,"< 100 DM","4  <= ... < 7 years",2,"none",1,"real estate",27,"none","A152",1,"skilled employee / official",1,"none","yes","GOOD","Male"
"578","no checking account",24,"critical account / other credits existing (not at this bank)","education",1927,"unknown / no savings account","1  <= ... < 4 years",3,"none",2,"car or other",33,"none","A152",2,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Male"
"579","0 < ... <  200 DM",36,"critical account / other credits existing (not at this bank)","car (new)",2820,"< 100 DM","< 1 year",4,"none",4,"car or other",27,"none","A152",2,"skilled employee / official",1,"none","yes","BAD","Female"
"580","no checking account",24,"existing credits paid back duly till now","retrainin",937,"< 100 DM","< 1 year",4,"none",3,"car or other",27,"none","A152",2,"unskilled - resident",1,"none","yes","GOOD","Female"
"581","0 < ... <  200 DM",18,"critical account / other credits existing (not at this bank)","car (new)",1056,"< 100 DM",">= 7 years",3,"guarantor",3,"real estate",30,"bank","A152",2,"skilled employee / official",1,"none","yes","BAD","Female"
"582","0 < ... <  200 DM",12,"critical account / other credits existing (not at this bank)","car (new)",3124,"< 100 DM","< 1 year",1,"none",3,"real estate",49,"bank","A152",2,"unskilled - resident",2,"none","yes","GOOD","Female"
"583","no checking account",9,"existing credits paid back duly till now","furniture / equipment",1388,"< 100 DM","1  <= ... < 4 years",4,"none",2,"real estate",26,"none","A151",1,"skilled employee / official",1,"none","yes","GOOD","Male"
"584","0 < ... <  200 DM",36,"existing credits paid back duly till now","repairs",2384,"< 100 DM","< 1 year",4,"none",1,"unknown / no property",33,"none","A151",1,"unskilled - resident",1,"none","yes","BAD","Female"
"585","no checking account",12,"existing credits paid back duly till now","car (new)",2133,"unknown / no savings account",">= 7 years",4,"none",4,"unknown / no property",52,"none","A153",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","yes","GOOD","Male"
"586","< 0 DM",18,"existing credits paid back duly till now","furniture / equipment",2039,"< 100 DM","1  <= ... < 4 years",1,"none",4,"real estate",20,"bank","A151",1,"skilled employee / official",1,"none","yes","BAD","Male"
"587","< 0 DM",9,"critical account / other credits existing (not at this bank)","car (new)",2799,"< 100 DM","1  <= ... < 4 years",2,"none",2,"real estate",36,"none","A151",2,"skilled employee / official",2,"none","yes","GOOD","Female"
"588","< 0 DM",12,"existing credits paid back duly till now","furniture / equipment",1289,"< 100 DM","1  <= ... < 4 years",4,"guarantor",1,"building society savings agreement / life insurance",21,"none","A152",1,"unskilled - resident",1,"none","yes","GOOD","Female"
"589","< 0 DM",18,"existing credits paid back duly till now","domestic appliances",1217,"< 100 DM","1  <= ... < 4 years",4,"none",3,"real estate",47,"none","A152",1,"unskilled - resident",1,"yes, registered under the customers name","yes","BAD","Female"
"590","< 0 DM",12,"critical account / other credits existing (not at this bank)","furniture / equipment",2246,"< 100 DM",">= 7 years",3,"none",3,"building society savings agreement / life insurance",60,"none","A152",2,"skilled employee / official",1,"none","yes","BAD","Female"
"591","< 0 DM",12,"critical account / other credits existing (not at this bank)","radio / television",385,"< 100 DM","4  <= ... < 7 years",4,"none",3,"real estate",58,"none","A152",4,"unskilled - resident",1,"yes, registered under the customers name","yes","GOOD","Male"
"592","0 < ... <  200 DM",24,"delay in paying off in the past","car (new)",1965,"unknown / no savings account","1  <= ... < 4 years",4,"none",4,"car or other",42,"none","A151",2,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Male"
"593","no checking account",21,"existing credits paid back duly till now","business",1572,">= 1000 DM",">= 7 years",4,"none",4,"real estate",36,"bank","A152",1,"unskilled - resident",1,"none","yes","GOOD","Male"
"594","0 < ... <  200 DM",24,"existing credits paid back duly till now","car (new)",2718,"< 100 DM","1  <= ... < 4 years",3,"none",4,"building society savings agreement / life insurance",20,"none","A151",1,"unskilled - resident",1,"yes, registered under the customers name","yes","BAD","Male"
"595","< 0 DM",24,"all credits at this bank paid back duly","others",1358,"unknown / no savings account",">= 7 years",4,"none",3,"car or other",40,"stores","A152",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","yes","BAD","Female"
"596","0 < ... <  200 DM",6,"all credits at this bank paid back duly","car (new)",931,"100 <= ... <  500 DM","< 1 year",1,"none",1,"building society savings agreement / life insurance",32,"stores","A152",1,"unskilled - resident",1,"none","yes","BAD","Male"
"597","< 0 DM",24,"existing credits paid back duly till now","car (new)",1442,"< 100 DM","4  <= ... < 7 years",4,"none",4,"car or other",23,"none","A151",2,"skilled employee / official",1,"none","yes","BAD","Male"
"598","0 < ... <  200 DM",24,"no credits taken / all credits paid back duly","business",4241,"< 100 DM","1  <= ... < 4 years",1,"none",4,"real estate",36,"none","A152",3,"unskilled - resident",1,"yes, registered under the customers name","yes","BAD","Female"
"599","no checking account",18,"critical account / other credits existing (not at this bank)","car (new)",2775,"< 100 DM","4  <= ... < 7 years",2,"none",2,"building society savings agreement / life insurance",31,"bank","A152",2,"skilled employee / official",1,"none","yes","BAD","Female"
"600","no checking account",24,"delay in paying off in the past","business",3863,"< 100 DM","1  <= ... < 4 years",1,"none",2,"unknown / no property",32,"none","A153",1,"skilled employee / official",1,"none","yes","GOOD","Female"
"601","0 < ... <  200 DM",7,"existing credits paid back duly till now","radio / television",2329,"< 100 DM","< 1 year",1,"guarantor",1,"real estate",45,"none","A152",1,"skilled employee / official",1,"none","yes","GOOD","Male"
"602","0 < ... <  200 DM",9,"existing credits paid back duly till now","furniture / equipment",918,"< 100 DM","1  <= ... < 4 years",4,"none",1,"building society savings agreement / life insurance",30,"none","A152",1,"skilled employee / official",1,"none","yes","BAD","Male"
"603","0 < ... <  200 DM",24,"all credits at this bank paid back duly","education",1837,"< 100 DM","4  <= ... < 7 years",4,"none",4,"unknown / no property",34,"bank","A153",1,"unskilled - resident",1,"none","yes","BAD","Male"
"604","no checking account",36,"existing credits paid back duly till now","furniture / equipment",3349,"< 100 DM","1  <= ... < 4 years",4,"none",2,"car or other",28,"none","A152",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","yes","BAD","Male"
"605",">= 200 DM",10,"existing credits paid back duly till now","furniture / equipment",1275,"< 100 DM","< 1 year",4,"none",2,"building society savings agreement / life insurance",23,"none","A152",1,"skilled employee / official",1,"none","yes","GOOD","Male"
"606","< 0 DM",24,"all credits at this bank paid back duly","furniture / equipment",2828,"500 <= ... < 1000 DM","1  <= ... < 4 years",4,"none",4,"real estate",22,"stores","A152",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Female"
"607","no checking account",24,"critical account / other credits existing (not at this bank)","business",4526,"< 100 DM","1  <= ... < 4 years",3,"none",2,"real estate",74,"none","A152",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","yes","GOOD","Female"
"608","0 < ... <  200 DM",36,"existing credits paid back duly till now","radio / television",2671,"100 <= ... <  500 DM","1  <= ... < 4 years",4,"co-applicant",4,"unknown / no property",50,"none","A153",1,"skilled employee / official",1,"none","yes","BAD","Male"
"609","no checking account",18,"existing credits paid back duly till now","radio / television",2051,"< 100 DM","< 1 year",4,"none",1,"real estate",33,"none","A152",1,"skilled employee / official",1,"none","yes","GOOD","Female"
"610","no checking account",15,"existing credits paid back duly till now","car (used)",1300,"unknown / no savings account",">= 7 years",4,"none",4,"unknown / no property",45,"bank","A153",1,"skilled employee / official",2,"none","yes","GOOD","Female"
"611","< 0 DM",12,"existing credits paid back duly till now","domestic appliances",741,"100 <= ... <  500 DM","unemployed",4,"none",3,"building society savings agreement / life insurance",22,"none","A152",1,"skilled employee / official",1,"none","yes","BAD","Male"
"612",">= 200 DM",10,"existing credits paid back duly till now","car (new)",1240,"100 <= ... <  500 DM",">= 7 years",1,"none",4,"unknown / no property",48,"none","A153",1,"unskilled - resident",2,"none","yes","BAD","Male"
"613","< 0 DM",21,"existing credits paid back duly till now","radio / television",3357,">= 1000 DM","< 1 year",4,"none",2,"car or other",29,"bank","A152",1,"skilled employee / official",1,"none","yes","GOOD","Male"
"614","< 0 DM",24,"all credits at this bank paid back duly","car (used)",3632,"< 100 DM","1  <= ... < 4 years",1,"guarantor",4,"car or other",22,"bank","A151",1,"skilled employee / official",1,"none","no","GOOD","Male"
"615","no checking account",18,"delay in paying off in the past","furniture / equipment",1808,"< 100 DM","4  <= ... < 7 years",4,"none",1,"real estate",22,"none","A152",1,"skilled employee / official",1,"none","yes","BAD","Male"
"616","0 < ... <  200 DM",48,"no credits taken / all credits paid back duly","business",12204,"unknown / no savings account","1  <= ... < 4 years",2,"none",2,"car or other",48,"bank","A152",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","yes","GOOD","Female"
"617","0 < ... <  200 DM",60,"delay in paying off in the past","radio / television",9157,"unknown / no savings account","1  <= ... < 4 years",2,"none",2,"unknown / no property",27,"none","A153",1,"management / self-employed / highly qualified employee / officer",1,"none","yes","GOOD","Female"
"618","< 0 DM",6,"critical account / other credits existing (not at this bank)","car (new)",3676,"< 100 DM","1  <= ... < 4 years",1,"none",3,"real estate",37,"none","A151",3,"skilled employee / official",2,"none","yes","GOOD","Female"
"619","0 < ... <  200 DM",30,"existing credits paid back duly till now","furniture / equipment",3441,"100 <= ... <  500 DM","1  <= ... < 4 years",2,"co-applicant",4,"car or other",21,"none","A151",1,"skilled employee / official",1,"none","yes","BAD","Male"
"620","no checking account",12,"existing credits paid back duly till now","car (new)",640,"< 100 DM","1  <= ... < 4 years",4,"none",2,"real estate",49,"none","A152",1,"unskilled - resident",1,"none","yes","GOOD","Female"
"621","0 < ... <  200 DM",21,"critical account / other credits existing (not at this bank)","business",3652,"< 100 DM","4  <= ... < 7 years",2,"none",3,"building society savings agreement / life insurance",27,"none","A152",2,"skilled employee / official",1,"none","yes","GOOD","Female"
"622","no checking account",18,"critical account / other credits existing (not at this bank)","car (new)",1530,"< 100 DM","1  <= ... < 4 years",3,"none",2,"building society savings agreement / life insurance",32,"bank","A152",2,"skilled employee / official",1,"none","yes","BAD","Female"
"623","no checking account",48,"existing credits paid back duly till now","business",3914,"unknown / no savings account","1  <= ... < 4 years",4,"none",2,"real estate",38,"bank","A152",1,"skilled employee / official",1,"none","yes","BAD","Female"
"624","< 0 DM",12,"existing credits paid back duly till now","furniture / equipment",1858,"< 100 DM","< 1 year",4,"none",1,"car or other",22,"none","A151",1,"skilled employee / official",1,"none","yes","GOOD","Male"
"625","< 0 DM",18,"existing credits paid back duly till now","radio / television",2600,"< 100 DM","1  <= ... < 4 years",4,"none",4,"unknown / no property",65,"none","A153",2,"skilled employee / official",1,"none","yes","BAD","Female"
"626","no checking account",15,"existing credits paid back duly till now","radio / television",1979,"unknown / no savings account",">= 7 years",4,"none",2,"car or other",35,"none","A152",1,"skilled employee / official",1,"none","yes","GOOD","Female"
"627",">= 200 DM",6,"existing credits paid back duly till now","furniture / equipment",2116,"< 100 DM","1  <= ... < 4 years",2,"none",2,"real estate",41,"none","A152",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Female"
"628","0 < ... <  200 DM",9,"all credits at this bank paid back duly","car (new)",1437,"100 <= ... <  500 DM","4  <= ... < 7 years",2,"none",3,"unknown / no property",29,"none","A152",1,"skilled employee / official",1,"none","yes","BAD","Female"
"629","no checking account",42,"critical account / other credits existing (not at this bank)","furniture / equipment",4042,"500 <= ... < 1000 DM","1  <= ... < 4 years",4,"none",4,"real estate",36,"none","A152",2,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Female"
"630","no checking account",9,"existing credits paid back duly till now","education",3832,"unknown / no savings account",">= 7 years",1,"none",4,"real estate",64,"none","A152",1,"unskilled - resident",1,"none","yes","GOOD","Female"
"631","< 0 DM",24,"existing credits paid back duly till now","radio / television",3660,"< 100 DM","1  <= ... < 4 years",2,"none",4,"car or other",28,"none","A152",1,"skilled employee / official",1,"none","yes","GOOD","Male"
"632","< 0 DM",18,"all credits at this bank paid back duly","furniture / equipment",1553,"< 100 DM","1  <= ... < 4 years",4,"none",3,"car or other",44,"bank","A152",1,"skilled employee / official",1,"none","yes","BAD","Female"
"633","0 < ... <  200 DM",15,"existing credits paid back duly till now","radio / television",1444,"unknown / no savings account","< 1 year",4,"none",1,"building society savings agreement / life insurance",23,"none","A152",1,"skilled employee / official",1,"none","yes","GOOD","Female"
"634","no checking account",9,"existing credits paid back duly till now","furniture / equipment",1980,"< 100 DM","< 1 year",2,"co-applicant",2,"car or other",19,"none","A151",2,"skilled employee / official",1,"none","yes","BAD","Male"
"635","0 < ... <  200 DM",24,"existing credits paid back duly till now","car (new)",1355,"< 100 DM","< 1 year",3,"none",4,"car or other",25,"none","A152",1,"unskilled - resident",1,"yes, registered under the customers name","yes","BAD","Male"
"636","no checking account",12,"existing credits paid back duly till now","education",1393,"< 100 DM",">= 7 years",4,"none",4,"building society savings agreement / life insurance",47,"bank","A152",3,"skilled employee / official",2,"yes, registered under the customers name","yes","GOOD","Female"
"637","no checking account",24,"existing credits paid back duly till now","radio / television",1376,"500 <= ... < 1000 DM","4  <= ... < 7 years",4,"none",1,"car or other",28,"none","A152",1,"skilled employee / official",1,"none","yes","GOOD","Male"
"638","no checking account",60,"delay in paying off in the past","radio / television",15653,"< 100 DM","4  <= ... < 7 years",2,"none",4,"car or other",21,"none","A152",2,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Female"
"639","no checking account",12,"existing credits paid back duly till now","radio / television",1493,"< 100 DM","< 1 year",4,"none",3,"car or other",34,"none","A152",1,"skilled employee / official",2,"none","yes","GOOD","Male"
"640","< 0 DM",42,"delay in paying off in the past","radio / television",4370,"< 100 DM","4  <= ... < 7 years",3,"none",2,"building society savings agreement / life insurance",26,"bank","A152",2,"skilled employee / official",2,"yes, registered under the customers name","yes","BAD","Female"
"641","< 0 DM",18,"existing credits paid back duly till now","education",750,"< 100 DM","unemployed",4,"none",1,"real estate",27,"none","A152",1,"unemployed / unskilled  - non-resident",1,"none","yes","BAD","Male"
"642","0 < ... <  200 DM",15,"existing credits paid back duly till now","repairs",1308,"< 100 DM",">= 7 years",4,"none",4,"car or other",38,"none","A152",2,"unskilled - resident",1,"none","yes","GOOD","Female"
"643","no checking account",15,"existing credits paid back duly till now","education",4623,"100 <= ... <  500 DM","1  <= ... < 4 years",3,"none",2,"building society savings agreement / life insurance",40,"none","A152",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","yes","BAD","Female"
"644","no checking account",24,"critical account / other credits existing (not at this bank)","radio / television",1851,"< 100 DM","4  <= ... < 7 years",4,"guarantor",2,"car or other",33,"none","A152",2,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Female"
"645","< 0 DM",18,"critical account / other credits existing (not at this bank)","radio / television",1880,"< 100 DM","4  <= ... < 7 years",4,"none",1,"building society savings agreement / life insurance",32,"none","A152",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","yes","GOOD","Female"
"646","no checking account",36,"delay in paying off in the past","business",7980,"unknown / no savings account","< 1 year",4,"none",4,"car or other",27,"none","A151",2,"skilled employee / official",1,"yes, registered under the customers name","yes","BAD","Female"
"647","< 0 DM",30,"no credits taken / all credits paid back duly","furniture / equipment",4583,"< 100 DM","1  <= ... < 4 years",2,"guarantor",2,"real estate",32,"none","A152",2,"skilled employee / official",1,"none","yes","GOOD","Female"
